Wetland,X,Y,xdd,xmm,xss,xdir,ydd,ymm,yss,ydir
FlamingoBay," 33¡20'15.53""N"," 81¡40'44.00""W",33,20,15.53,N,81,40,44,W
Bay5144," 33¡16'58.94""N"," 81¡37'2.24""W",33,16,58.94,N,81,37,2.24,W
Bay92," 33¡11'48.65""N"," 81¡32'26.40""W",33,11,48.65,N,81,32,26.4,W
Bay93," 33¡11'48.85""N"," 81¡32'40.13""W",33,11,48.85,N,81,32,40.13,W
EllentonBay," 33¡13'18.48""N"," 81¡44'49.39""W",33,13,18.48,N,81,44,49.39,W
DryBay," 33¡15'0.32""N"," 81¡44'45.77""W",33,15,0.32,N,81,44,45.77,W
GingersBay," 33¡18'56.14""N"," 81¡46'24.81""W",33,18,56.14,N,81,46,24.81,W
SquirrelBay," 33¡17'49.74""N"," 81¡45'44.73""W",33,17,49.74,N,81,45,44.73,W
Bay12," 33¡17'47.47""N"," 81¡45'26.07""W",33,17,47.47,N,81,45,26.07,W
Bay52," 33¡18'39.86""N"," 81¡32'45.34""W",33,18,39.86,N,81,32,45.34,W
Bay5179," 33¡19'2.66""N"," 81¡33'4.90""W",33,19,2.66,N,81,33,4.9,W
Bay100," 33¡12'58.36""N"," 81¡34'31.80""W",33,12,58.36,N,81,34,31.8,W
Bay120," 33¡11'25.81""N"," 81¡35'49.28""W",33,11,25.81,N,81,35,49.28,W
ThunderBay," 33¡14'2.16""N"," 81¡29'28.55""W",33,14,2.16,N,81,29,28.55,W
MonaBay," 33¡19'4.19""N"," 81¡28'35.75""W",33,19,4.19,N,81,28,35.75,W
SarraceniaBay," 33¡17'22.81""N"," 81¡29'7.32""W",33,17,22.81,N,81,29,7.32,W
Bay128," 33¡14'4.37""N"," 81¡39'5.35""W",33,14,4.37,N,81,39,5.35,W
CastorBay," 33¡14'8.75""N"," 81¡39'17.37""W",33,14,8.75,N,81,39,17.37,W
LindasPond," 33¡15'36.90""N"," 81¡38'35.15""W",33,15,36.9,N,81,38,35.15,W
Rainbowbay," 33¡15'36.22""N"," 81¡37'52.66""W",33,15,36.22,N,81,37,52.66,W